,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,combined
4748,Marius A. Markevicius,Greg Speirs,DocumentarySport,Tommy Sheppard,The Other Dream Team,Mickey Hart,Marius A. Markevicius Greg Speirs DocumentarySport Tommy Sheppard Mickey Hart
4749,Tom DiCillo,Tina Louise,ComedyMusicRomance,Brad Pitt,Johnny Suede,Nick Cave,Tom DiCillo Tina Louise ComedyMusicRomance Brad Pitt Nick Cave
4750,Justin Lin,Jake Sandvig,Comedy,Monique Gabriela Curnen,Finishing the Game: The Search for a New Bruce Lee,Joe McQueen,Justin Lin Jake Sandvig Comedy Monique Gabriela Curnen Joe McQueen
4751,Quentin Dupieux,Jack Plotnick,ComedyFantasyHorror,Haley Ramm,Rubber,Cecelia Antoinette,Quentin Dupieux Jack Plotnick ComedyFantasyHorror Haley Ramm Cecelia Antoinette
4752,Tim Johnson,Matt Jones,AdventureAnimationComedyFamilyFantasySci-Fi,Jim Parsons,Home,April Winchell,Tim Johnson Matt Jones AdventureAnimationComedyFamilyFantasySci-Fi Jim Parsons April Winchell
4753,C. Jay Cox,Amber Benson,ComedyRomance,Tori Spelling,Kiss the Bride,Garrett M. Brown,C. Jay Cox Amber Benson ComedyRomance Tori Spelling Garrett M. Brown
4754,Alex Smith,Clea DuVall,DramaSport,Ryan Gosling,The Slaughter Rule,Eddie Spears,Alex Smith Clea DuVall DramaSport Ryan Gosling Eddie Spears
4755,Gareth Edwards,Whitney Able,DramaSci-FiThriller,Scoot McNairy,Monsters,Ricky Catter,Gareth Edwards Whitney Able DramaSci-FiThriller Scoot McNairy Ricky Catter
4756,Jonathan Parker,Joanne Whalley,Drama,Keith Carradine,The Californians,Illeana Douglas,Jonathan Parker Joanne Whalley Drama Keith Carradine Illeana Douglas
4757,Sol Tryon,Ann Dowd,Comedy,Jim Gaffigan,The Living Wake,Matthew Cowles,Sol Tryon Ann Dowd Comedy Jim Gaffigan Matthew Cowles
4758,Alex Craig Mann,Christa B. Allen,ComedyHorror,Justin Chon,Detention of the Dead,Max Adler,Alex Craig Mann Christa B. Allen ComedyHorror Justin Chon Max Adler
4759,Hao Ning,Zheng Xu,ComedyCrime,Bo Huang,Crazy Stone,Zhonghua Chen,Hao Ning Zheng Xu ComedyCrime Bo Huang Zhonghua Chen
4760,Stephen Kijak,Jacques Brel,BiographyDocumentaryMusic,Brian Eno,Scott Walker: 30 Century Man,Damon Albarn,Stephen Kijak Jacques Brel BiographyDocumentaryMusic Brian Eno Damon Albarn
4761,Marc Forster,Alan Ruck,Drama,Radha Mitchell,Everything Put Together,Megan Mullally,Marc Forster Alan Ruck Drama Radha Mitchell Megan Mullally
4762,Andrew Niccol,Zoë Kravitz,DramaThriller,Bruce Greenwood,Good Kill,Stafford Douglas,Andrew Niccol Zoë Kravitz DramaThriller Bruce Greenwood Stafford Douglas
4763,Daston Kalili,Rai Alexandra,Thriller,Daston Kalili,Insomnia Manica,Chin-Chien Chang,Daston Kalili Rai Alexandra Thriller Daston Kalili Chin-Chien Chang
4764,William Gazecki,Bruce Vilanch,Documentary,Carol Channing,The Outrageous Sophie Tucker,Tony Bennett,William Gazecki Bruce Vilanch Documentary Carol Channing Tony Bennett
4765,Ol Parker,Olivia Williams,DramaRomance,Jeremy Irvine,Now Is Good,Paddy Considine,Ol Parker Olivia Williams DramaRomance Jeremy Irvine Paddy Considine
4766,Michael Hoffman Jr.,John McGlothlin,ComedyHorror,Vincent Chimato,Girls Gone Dead,Al Sapienza,Michael Hoffman Jr. John McGlothlin ComedyHorror Vincent Chimato Al Sapienza
4767,Patrick Gilles,Dylan Baker,History,Emma Caulfield,America Is Still the Place,Mike Colter,Patrick Gilles Dylan Baker History Emma Caulfield Mike Colter
4768,Georgia Hilton,Tim Abell,ActionMysteryThriller,Mike Beckingham,Subconscious,Tom Stedham,Georgia Hilton Tim Abell ActionMysteryThriller Mike Beckingham Tom Stedham
4769,Tamra Davis,Katherine Boecher,ComedyDrama,Britney Spears,Crossroads,Dave Allen,Tamra Davis Katherine Boecher ComedyDrama Britney Spears Dave Allen
4770,Jack Heller,Katherine Waterston,MysteryThriller,Shaun Sipos,Enter Nowhere,Christopher Denham,Jack Heller Katherine Waterston MysteryThriller Shaun Sipos Christopher Denham
4771,Fernando Baez Mella,Christian Alvarez,CrimeDrama,Manny Perez,The King of Najayo,Claudette Lalí,Fernando Baez Mella Christian Alvarez CrimeDrama Manny Perez Claudette Lalí
4772,Warren Sheppard,Randy Jay Burrell,ActionRomanceSport,Jennifer Hale,Fight to the Finish,Vincent De Paul,Warren Sheppard Randy Jay Burrell ActionRomanceSport Jennifer Hale Vincent De Paul
4773,Darren Lynn Bousman,Barry Bostwick,HorrorMusical,Paul Sorvino,Alleluia! The Devil's Carnival,Terrance Zdunich,Darren Lynn Bousman Barry Bostwick HorrorMusical Paul Sorvino Terrance Zdunich
4774,Justin Paul Miller,Jennifer Landa,ComedyMysteryThriller,Mary Kate Wiles,The Sound and the Shadow,Felix Avitia,Justin Paul Miller Jennifer Landa ComedyMysteryThriller Mary Kate Wiles Felix Avitia
4775,Joel Paul Reisig,Joel Paul Reisig,Family,Carrie Bradstreet,Rodeo Girl,Yassie Hawkes,Joel Paul Reisig Joel Paul Reisig Family Carrie Bradstreet Yassie Hawkes
4776,Catherine Gund,Sarah Callan,ActionBiographyDocumentarySport,Elizabeth Streb,Born to Fly: Elizabeth Streb vs. Gravity,Laura Flanders,Catherine Gund Sarah Callan ActionBiographyDocumentarySport Elizabeth Streb Laura Flanders
4777,Luke Dye,Jeff Delaney,Family,Mike Stanley,The Little Ponderosa Zoo,Jamison Stalsworth,Luke Dye Jeff Delaney Family Mike Stanley Jamison Stalsworth
4778,Sam Raimi,Mila Kunis,AdventureFamilyFantasy,Tim Holmes,Oz the Great and Powerful,James Franco,Sam Raimi Mila Kunis AdventureFamilyFantasy Tim Holmes James Franco
4779,Michael Herz,Mark Torgl,ActionComedyHorrorSci-Fi,Patrick Kilpatrick,The Toxic Avenger,Pat Ryan,Michael Herz Mark Torgl ActionComedyHorrorSci-Fi Patrick Kilpatrick Pat Ryan
4780,Matty Rich,George T. Odom,CrimeDrama,Lawrence Gilliard Jr.,Straight Out of Brooklyn,Matty Rich,Matty Rich George T. Odom CrimeDrama Lawrence Gilliard Jr. Matty Rich
4781,Paul Greengrass,Nicholas Farrell,DramaHistoryWar,James Nesbitt,Bloody Sunday,Tim Pigott-Smith,Paul Greengrass Nicholas Farrell DramaHistoryWar James Nesbitt Tim Pigott-Smith
4782,Alec Asten,Dennis L.A. White,Action,Luis Sanchez,Diamond Ruff,Fredro Starr,Alec Asten Dennis L.A. White Action Luis Sanchez Fredro Starr
4783,Hans Canosa,Thomas Lennon,ComedyDramaRomance,Olivia Wilde,Conversations with Other Women,Nora Zehetner,Hans Canosa Thomas Lennon ComedyDramaRomance Olivia Wilde Nora Zehetner
4784,Lloyd Kaufman,Lloyd Kaufman,ComedyHorrorMusical,John Karyus,Poultrygeist: Night of the Chicken Dead,Kate Graham,Lloyd Kaufman Lloyd Kaufman ComedyHorrorMusical John Karyus Kate Graham
4785,Matthew Watts,Cheyenne Jackson,ComedyRomance,Jennifer Lafleur,Mutual Friends,Michael Stahl-David,Matthew Watts Cheyenne Jackson ComedyRomance Jennifer Lafleur Michael Stahl-David
4786,Lloyd Bacon,Dick Powell,ComedyMusicalRomance,Ginger Rogers,42nd Street,George Brent,Lloyd Bacon Dick Powell ComedyMusicalRomance Ginger Rogers George Brent
4787,Joe Kenemore,Jack Canfield,Documentary,Bob Proctor,Rise of the Entrepreneur: The Search for a Better Way,Eric Worre,Joe Kenemore Jack Canfield Documentary Bob Proctor Eric Worre
4788,Whit Stillman,Taylor Nichols,ComedyDramaRomance,Chris Eigeman,Metropolitan,Ellia Thompson,Whit Stillman Taylor Nichols ComedyDramaRomance Chris Eigeman Ellia Thompson
4789,Kay Pollak,Frida Hallgren,ComedyDramaMusicRomance,Michael Nyqvist,As It Is in Heaven,Nils-Anders Vallgårda,Kay Pollak Frida Hallgren ComedyDramaMusicRomance Michael Nyqvist Nils-Anders Vallgårda
4790,Eric England,Ace Marrero,DramaHorrorMysteryThriller,Jack E. Curenton,Roadside,Alan Pietruszewski,Eric England Ace Marrero DramaHorrorMysteryThriller Jack E. Curenton Alan Pietruszewski
4791,Jared Hess,Diedrich Bader,Comedy,Jon Heder,Napoleon Dynamite,Jon Gries,Jared Hess Diedrich Bader Comedy Jon Heder Jon Gries
4792,Jeremy Saulnier,Eve Plumb,CrimeDramaThriller,Devin Ratray,Blue Ruin,Amy Hargreaves,Jeremy Saulnier Eve Plumb CrimeDramaThriller Devin Ratray Amy Hargreaves
4793,Oren Peli,Ashley Palmer,Horror,Micah Sloat,Paranormal Activity,Amber Armstrong,Oren Peli Ashley Palmer Horror Micah Sloat Amber Armstrong
4794,Stacy Peralta,Jay Adams,DocumentarySport,Tony Alva,Dogtown and Z-Boys,Jeff Ament,Stacy Peralta Jay Adams DocumentarySport Tony Alva Jeff Ament
4795,Terry Gilliam,Michael Palin,AdventureComedyFantasy,Eric Idle,Monty Python and the Holy Grail,Terry Jones,Terry Gilliam Michael Palin AdventureComedyFantasy Eric Idle Terry Jones
4796,Richard Glatzer,Jesse Garcia,Drama,Emily Rios,Quinceañera,Alicia Sixtos,Richard Glatzer Jesse Garcia Drama Emily Rios Alicia Sixtos
4797,Sue Corcoran,Sue Corcoran,ComedyFantasyHorrorMusical,Tony Doupe,Gory Gory Hallelujah,David Frederick White,Sue Corcoran Sue Corcoran ComedyFantasyHorrorMusical Tony Doupe David Frederick White
4799,Jonathan Caouette,Jonathan Caouette,BiographyDocumentary,Greg Ayres,Tarnation,Renee Leblanc,Jonathan Caouette Jonathan Caouette BiographyDocumentary Greg Ayres Renee Leblanc
4800,Ray Griggs,Chris Cox,Documentary,Bill Farmer,I Want Your Money,Mike Huckabee,Ray Griggs Chris Cox Documentary Bill Farmer Mike Huckabee
4801,Matt Jackson,Paul Elia,ComedyHorror,Kane Hodder,Love in the Time of Monsters,Alex Sanborn,Matt Jackson Paul Elia ComedyHorror Kane Hodder Alex Sanborn
4802,Lucio Fulci,David Warbeck,Horror,Catriona MacColl,The Beyond,Al Cliver,Lucio Fulci David Warbeck Horror Catriona MacColl Al Cliver
4804,Tom Vaughan,Andrew Daly,ComedyRomance,Treat Williams,What Happens in Vegas,Michelle Krusiec,Tom Vaughan Andrew Daly ComedyRomance Treat Williams Michelle Krusiec
4805,Paul Fox,Jeff Seymour,HorrorThriller,Dov Tiefenbach,The Dark Hours,Gordon Currie,Paul Fox Jeff Seymour HorrorThriller Dov Tiefenbach Gordon Currie
4806,Stephen Frears,Roshan Seth,ComedyDramaRomance,Saeed Jaffrey,My Beautiful Laundrette,Garry Cooper,Stephen Frears Roshan Seth ComedyDramaRomance Saeed Jaffrey Garry Cooper
4807,Ari Kirschenbaum,Adam LeFevre,DramaHorrorMysteryThriller,R. Brandon Johnson,Fabled,Desmond Askew,Ari Kirschenbaum Adam LeFevre DramaHorrorMysteryThriller R. Brandon Johnson Desmond Askew
4808,Cassandra Nicolaou,Michelle Nolden,DramaThriller,Katharine Isabelle,Show Me,Gabriel Hogan,Cassandra Nicolaou Michelle Nolden DramaThriller Katharine Isabelle Gabriel Hogan
4809,Ingmar Bergman,Ingrid Thulin,Drama,Liv Ullmann,Cries & Whispers,Erland Josephson,Ingmar Bergman Ingrid Thulin Drama Liv Ullmann Erland Josephson
4810,D.W. Griffith,Mae Marsh,DramaHistoryWar,Lillian Gish,Intolerance: Love's Struggle Throughout the Ages,Walter Long,D.W. Griffith Mae Marsh DramaHistoryWar Lillian Gish Walter Long
4811,Roger Nygard,DeForest Kelley,Documentary,Walter Koenig,Trekkies,James Doohan,Roger Nygard DeForest Kelley Documentary Walter Koenig James Doohan
4812,Harry Beaumont,Bessie Love,MusicalRomance,Anita Page,The Broadway Melody,Charles King,Harry Beaumont Bessie Love MusicalRomance Anita Page Charles King
4813,Sam Raimi,Betsy Baker,FantasyHorror,Ted Raimi,The Evil Dead,Ellen Sandweiss,Sam Raimi Betsy Baker FantasyHorror Ted Raimi Ellen Sandweiss
4814,Franck Khalfoun,Nora Arnezeder,HorrorThriller,America Olivo,Maniac,Liane Balaban,Franck Khalfoun Nora Arnezeder HorrorThriller America Olivo Liane Balaban
4816,Henry Alex Rubin,Joe Bishop,DocumentarySport,Mark Zupan,Murderball,Andy Cohn,Henry Alex Rubin Joe Bishop DocumentarySport Mark Zupan Andy Cohn
4817,Sam Firstenberg,Steve James,ActionDrama,Michael Dudikoff,American Ninja 2: The Confrontation,Larry Poindexter,Sam Firstenberg Steve James ActionDrama Michael Dudikoff Larry Poindexter
4818,Doug Block,Ellen Block,Documentary,Carol Block,51 Birch Street,Mike Block,Doug Block Ellen Block Documentary Carol Block Mike Block
4820,Chad Kapper,Natalie Welch,FamilySci-Fi,Tom E. Nicholson,Rotor DR1,Christian Kapper,Chad Kapper Natalie Welch FamilySci-Fi Tom E. Nicholson Christian Kapper
4821,John Carpenter,Donald Pleasence,HorrorThriller,Jamie Lee Curtis,Halloween,P.J. Soles,John Carpenter Donald Pleasence HorrorThriller Jamie Lee Curtis P.J. Soles
4822,Sidney Lumet,Lee J. Cobb,CrimeDrama,Jack Warden,12 Angry Men,John Fiedler,Sidney Lumet Lee J. Cobb CrimeDrama Jack Warden John Fiedler
4823,Paul Fierlinger,Peter Gerety,AnimationDrama,Isabella Rossellini,My Dog Tulip,Lynn Redgrave,Paul Fierlinger Peter Gerety AnimationDrama Isabella Rossellini Lynn Redgrave
4824,Frank Capra,Alan Hale,ComedyRomance,Claudette Colbert,It Happened One Night,Walter Connolly,Frank Capra Alan Hale ComedyRomance Claudette Colbert Walter Connolly
4825,Yorgos Lanthimos,Mary Tsoni,DramaThriller,Angeliki Papoulia,Dogtooth,Sissy Petropoulou,Yorgos Lanthimos Mary Tsoni DramaThriller Angeliki Papoulia Sissy Petropoulou
4826,Lauren Lazin,Gary Coleman,BiographyDocumentaryMusic,James Cagney,Tupac: Resurrection,Todd Bridges,Lauren Lazin Gary Coleman BiographyDocumentaryMusic James Cagney Todd Bridges
4827,Gavin O'Connor,Janet McTeer,ComedyDrama,Kimberly J. Brown,Tumbleweeds,Lois Smith,Gavin O'Connor Janet McTeer ComedyDrama Kimberly J. Brown Lois Smith
4828,Gregory Widen,Adam Goldberg,ActionFantasyHorrorMysteryThriller,Viggo Mortensen,The Prophecy,Virginia Madsen,Gregory Widen Adam Goldberg ActionFantasyHorrorMysteryThriller Viggo Mortensen Virginia Madsen
4829,Cédric Klapisch,Zinedine Soualem,ComedyRomance,Simon Abkarian,When the Cat's Away,Jane Bradbury,Cédric Klapisch Zinedine Soualem ComedyRomance Simon Abkarian Jane Bradbury
4830,Peter Hedges,Adrian Martinez,ComedyDrama,Oliver Platt,Pieces of April,Derek Luke,Peter Hedges Adrian Martinez ComedyDrama Oliver Platt Derek Luke
4831,Niall Johnson,Mark Caven,Drama,Kevin Howarth,The Big Swap,Thierry Harcourt,Niall Johnson Mark Caven Drama Kevin Howarth Thierry Harcourt
4832,Kelly Reichardt,Lucy,Drama,Daniel London,Old Joy,Will Oldham,Kelly Reichardt Lucy Drama Daniel London Will Oldham
4833,Kelly Reichardt,Lucy,Drama,John Robinson,Wendy and Lucy,Will Oldham,Kelly Reichardt Lucy Drama John Robinson Will Oldham
4834,Eric Mendelsohn,Edie Falco,Drama,Embeth Davidtz,3 Backyards,Kathryn Erbe,Eric Mendelsohn Edie Falco Drama Embeth Davidtz Kathryn Erbe
4835,Jean-Luc Godard,Anna Karina,CrimeDramaRomance,Jean-Paul Belmondo,Pierrot le Fou,Graziella Galvani,Jean-Luc Godard Anna Karina CrimeDramaRomance Jean-Paul Belmondo Graziella Galvani
4838,Michael Roemer,Gloria Foster,DramaRomance,Yaphet Kotto,Nothing But a Man,Ivan Dixon,Michael Roemer Gloria Foster DramaRomance Yaphet Kotto Ivan Dixon
4839,Jesse Peretz,Eli Marienthal,DramaRomance,Robert John Burke,"First Love, Last Rites",Natasha Gregson Wagner,Jesse Peretz Eli Marienthal DramaRomance Robert John Burke Natasha Gregson Wagner
4840,Eddie O'Flaherty,Eddie Jones,DramaSport,Don Wallace,Fighting Tommy Riley,Christina Chambers,Eddie O'Flaherty Eddie Jones DramaSport Don Wallace Christina Chambers
4841,Babar Ahmed,Alexander Wraith,ActionThriller,Lalaine,Royal Kill,Darren Kendrick,Babar Ahmed Alexander Wraith ActionThriller Lalaine Darren Kendrick
4842,Julie Taymor,T.V. Carpio,DramaFantasyMusicalRomance,Jim Sturgess,Across the Universe,Robert Clohessy,Julie Taymor T.V. Carpio DramaFantasyMusicalRomance Jim Sturgess Robert Clohessy
4843,John D. Hancock,Elizabeth Stenholt,DramaMusic,Trish Basinger,The Looking Glass,Mary Norwood,John D. Hancock Elizabeth Stenholt DramaMusic Trish Basinger Mary Norwood
4844,Paul Bartel,David Carradine,ActionComedySci-FiSport,Sylvester Stallone,Death Race 2000,Martin Kove,Paul Bartel David Carradine ActionComedySci-FiSport Sylvester Stallone Martin Kove
4845,Bruce Dellis,Ricky Schroder,Thriller,Tatyana Ali,Locker 13,Jon Polito,Bruce Dellis Ricky Schroder Thriller Tatyana Ali Jon Polito
4846,Pece Dingo,Wilhelm von Homburg,Horror,Michael Des Barres,Midnight Cabaret,Thom Mathews,Pece Dingo Wilhelm von Homburg Horror Michael Des Barres Thom Mathews
4847,Jerome Elston Scott,Joanna Cassidy,ComedyDramaRomance,Taran Killam,Anderson's Cross,Ryan Carnes,Jerome Elston Scott Joanna Cassidy ComedyDramaRomance Taran Killam Ryan Carnes
4848,Étienne Faure,Pierre Prieur,DramaMusicalRomance,Rumi Missabu,Bizarre,Raquel Nave,Étienne Faure Pierre Prieur DramaMusicalRomance Rumi Missabu Raquel Nave
4849,Herb Freed,Carmen Argenziano,HorrorMystery,Linnea Quigley,Graduation Day,Vanna White,Herb Freed Carmen Argenziano HorrorMystery Linnea Quigley Vanna White
4850,Jack Perez,Barry Bostwick,ComedyCrimeDramaHorrorMysteryThriller,Kevin Corrigan,Some Guy Who Kills People,Ahmed Best,Jack Perez Barry Bostwick ComedyCrimeDramaHorrorMysteryThriller Kevin Corrigan Ahmed Best
4851,Craig Zobel,Matt Servitto,BiographyCrimeDramaThriller,Dreama Walker,Compliance,James McCaffrey,Craig Zobel Matt Servitto BiographyCrimeDramaThriller Dreama Walker James McCaffrey
4852,Kevin Smith,Ethan Suplee,ComedyDramaRomance,Matt Damon,Chasing Amy,Joey Lauren Adams,Kevin Smith Ethan Suplee ComedyDramaRomance Matt Damon Joey Lauren Adams
4853,Nicole Holofcener,Brenda Blethyn,ComedyDramaRomance,Aunjanue Ellis,Lovely & Amazing,Raven Goodwin,Nicole Holofcener Brenda Blethyn ComedyDramaRomance Aunjanue Ellis Raven Goodwin
4854,Ken Del Conte,Robert Miano,ActionAdventureMysteryRomanceThriller,Hector Echavarria,Death Calls,Ron Roggé,Ken Del Conte Robert Miano ActionAdventureMysteryRomanceThriller Hector Echavarria Ron Roggé
4855,Justin Lin,Jason Tobin,CrimeDramaRomance,Parry Shen,Better Luck Tomorrow,Collin Kahey,Justin Lin Jason Tobin CrimeDramaRomance Parry Shen Collin Kahey
4856,Maria Maggenti,Laurel Holloman,ComedyDramaRomance,Nicole Ari Parker,The Incredibly True Adventure of Two Girls in Love,Stephanie Berry,Maria Maggenti Laurel Holloman ComedyDramaRomance Nicole Ari Parker Stephanie Berry
4857,Miguel Arteta,Mike White,ComedyDrama,Lupe Ontiveros,Chuck & Buck,Chris Weitz,Miguel Arteta Mike White ComedyDrama Lupe Ontiveros Chris Weitz
4858,Piyush Dinker Pandya,Rizwan Manji,ComedyDramaRomance,Purva Bedi,American Desi,Anil Kumar,Piyush Dinker Pandya Rizwan Manji ComedyDramaRomance Purva Bedi Anil Kumar
4859,Daniel Columbie,Nicholas Simmons,ActionCrimeDrama,Keri Maletto,Amidst the Devil's Wings,Barbie Castro,Daniel Columbie Nicholas Simmons ActionCrimeDrama Keri Maletto Barbie Castro
4860,Vincenzo Natali,Julian Richings,MysterySci-FiThriller,David Hewlett,Cube,Nicole de Boer,Vincenzo Natali Julian Richings MysterySci-FiThriller David Hewlett Nicole de Boer
4861,Emma-Kate Croghan,Frances O'Connor,ComedyRomance,Radha Mitchell,Love and Other Catastrophes,Matt Day,Emma-Kate Croghan Frances O'Connor ComedyRomance Radha Mitchell Matt Day
4862,Bill Plympton,Bill Martone,AnimationComedyDramaFantasySci-Fi,Charis Michelsen,I Married a Strange Person!,Richard Spore,Bill Plympton Bill Martone AnimationComedyDramaFantasySci-Fi Charis Michelsen Richard Spore
4863,Greg Harrison,Anne Archer,DramaMysteryThriller,Amir Talai,November,Nora Dunn,Greg Harrison Anne Archer DramaMysteryThriller Amir Talai Nora Dunn
4864,Drake Doremus,Charlie Bewley,DramaRomance,Jennifer Lawrence,Like Crazy,Finola Hughes,Drake Doremus Charlie Bewley DramaRomance Jennifer Lawrence Finola Hughes
4865,Al Franklin,Steffinnie Phrommany,Horror,Marshal Hilton,Teeth and Blood,Clint Jung,Al Franklin Steffinnie Phrommany Horror Marshal Hilton Clint Jung
4866,Allison Anders,Rosanna Arquette,ComedyMusic,Ally Sheedy,Sugar Town,John Doe,Allison Anders Rosanna Arquette ComedyMusic Ally Sheedy John Doe
4867,Michael Kang,Clint Jordan,ComedyDrama,Samantha Futerman,The Motel,Jackie Nova,Michael Kang Clint Jordan ComedyDrama Samantha Futerman Jackie Nova
4868,Paul Schrader,Gus Van Sant,DramaThriller,Nolan Gerard Funk,The Canyons,James Deen,Paul Schrader Gus Van Sant DramaThriller Nolan Gerard Funk James Deen
4870,Lori Silverbush,Flaco Navaja,Drama,Judy Marte,On the Outs,Dominic Colón,Lori Silverbush Flaco Navaja Drama Judy Marte Dominic Colón
4871,Jeff Nichols,Natalie Canerday,DramaThriller,Michael Abbott Jr.,Shotgun Stories,Travis Smith,Jeff Nichols Natalie Canerday DramaThriller Michael Abbott Jr. Travis Smith
4872,Stuart Hazeldine,Luke Mably,MysteryThriller,Colin Salmon,Exam,Pollyanna McIntosh,Stuart Hazeldine Luke Mably MysteryThriller Colin Salmon Pollyanna McIntosh
4873,Hilary Brougher,Samantha Buck,Sci-Fi,James Urbaniak,The Sticky Fingers of Time,Terumi Matthews,Hilary Brougher Samantha Buck Sci-Fi James Urbaniak Terumi Matthews
4874,Rachel Goldenberg,Mark Hengst,DramaMusical,Dustin Fitzsimons,Sunday School Musical,Debra Lynn Hull,Rachel Goldenberg Mark Hengst DramaMusical Dustin Fitzsimons Debra Lynn Hull
4875,Corbin Bernsen,Lorne Cardinal,Drama,Corbin Bernsen,Rust,Kirsten Collins,Corbin Bernsen Lorne Cardinal Drama Corbin Bernsen Kirsten Collins
4876,Jamin Winans,Marty Lindsey,ActionDramaFantasySci-Fi,Eme Ikwuakor,Ink,Jessica Duffy,Jamin Winans Marty Lindsey ActionDramaFantasySci-Fi Eme Ikwuakor Jessica Duffy
4877,Tom Seidman,Derek Brandon,DramaFamily,Florence Henderson,The Christmas Bunny,Charles Irving Beale,Tom Seidman Derek Brandon DramaFamily Florence Henderson Charles Irving Beale
4878,Jason Naumann,Kate Flannery,ComedyShort,Victoria Jackson,Jesus People,Tim Bagley,Jason Naumann Kate Flannery ComedyShort Victoria Jackson Tim Bagley
4879,Matt Cimber,June Lockhart,CrimeDrama,Stacy Keach,Butterfly,Stuart Whitman,Matt Cimber June Lockhart CrimeDrama Stacy Keach Stuart Whitman
4880,Sam Martin,Steve Duin,Documentary,Sam Adams,UnDivided,Jeff Jacob,Sam Martin Steve Duin Documentary Sam Adams Jeff Jacob
4881,Andrew Hyatt,Brit Morgan,HorrorThriller,Noah Segan,The Frozen,Sedona James,Andrew Hyatt Brit Morgan HorrorThriller Noah Segan Sedona James
4882,Dan Curtis,Campbell Scott,FantasyRomance,Jennifer Jason Leigh,The Love Letter,Estelle Parsons,Dan Curtis Campbell Scott FantasyRomance Jennifer Jason Leigh Estelle Parsons
4883,Joel Paul Reisig,Dana Blackstone,Family,Joshua Ray Bell,Horse Camp,Annelyse Ahmad,Joel Paul Reisig Dana Blackstone Family Joshua Ray Bell Annelyse Ahmad
4884,Kristin Rizzo,Robert Davi,Documentary,Esai Morales,Give Me Shelter,Elaine Hendrix,Kristin Rizzo Robert Davi Documentary Esai Morales Elaine Hendrix
4885,King Vidor,Renée Adorée,DramaRomanceWar,John Gilbert,The Big Parade,Claire Adams,King Vidor Renée Adorée DramaRomanceWar John Gilbert Claire Adams
4886,Ward Roberts,Jacob Zachar,Comedy,Sid Haig,Little Big Top,Travis Betz,Ward Roberts Jacob Zachar Comedy Sid Haig Travis Betz
4887,Zoran Lisinac,Brock Baker,ComedyMusicRomance,Matthew Emerick,Along the Roadside,Sheldon Bailey,Zoran Lisinac Brock Baker ComedyMusicRomance Matthew Emerick Sheldon Bailey
4888,Nicolas Winding Refn,James Lance,ActionBiographyCrimeDrama,Tom Hardy,Bronson,Matt King,Nicolas Winding Refn James Lance ActionBiographyCrimeDrama Tom Hardy Matt King
4889,James O'Brien,Vivian Lamolli,AdventureDramaFantasyThrillerWestern,Mark Fantasia,Western Religion,Greg Jackson,James O'Brien Vivian Lamolli AdventureDramaFantasyThrillerWestern Mark Fantasia Greg Jackson
4890,Tom Putnam,Donald Austin,Documentary,Brendan Doogie Milewski,Burn,Craig Dougherty,Tom Putnam Donald Austin Documentary Brendan Doogie Milewski Craig Dougherty
4891,Jon Shear,Josh Hamilton,Drama,Dan Futterman,Urbania,Matt Keeslar,Jon Shear Josh Hamilton Drama Dan Futterman Matt Keeslar
4892,Al Silliman Jr.,Nancy Ison,ComedyDrama,Christina Hart,The Stewardesses,William Condos,Al Silliman Jr. Nancy Ison ComedyDrama Christina Hart William Condos
4893,Eugène Lourié,Cecil Kellaway,AdventureHorrorSci-Fi,Kenneth Tobey,"The Beast from 20,000 Fathoms",Ross Elliott,Eugène Lourié Cecil Kellaway AdventureHorrorSci-Fi Kenneth Tobey Ross Elliott
4894,Richard Fleischer,Robert J. Wilke,AdventureDramaFamilyFantasySci-Fi,James Mason,"20,000 Leagues Under the Sea",Paul Lukas,Richard Fleischer Robert J. Wilke AdventureDramaFamilyFantasySci-Fi James Mason Paul Lukas
4895,George Miller,Steve Bisley,ActionAdventureSci-FiThriller,Hugh Keays-Byrne,Mad Max,Joanne Samuel,George Miller Steve Bisley ActionAdventureSci-FiThriller Hugh Keays-Byrne Joanne Samuel
4896,Doug Liman,Alex Désert,ComedyDrama,Jon Favreau,Swingers,Blake Lindsley,Doug Liman Alex Désert ComedyDrama Jon Favreau Blake Lindsley
4897,Sergio Leone,Gian Maria Volontè,ActionDramaWestern,Clint Eastwood,A Fistful of Dollars,Aldo Sambrell,Sergio Leone Gian Maria Volontè ActionDramaWestern Clint Eastwood Aldo Sambrell
4898,Lowell Sherman,Gilbert Roland,ComedyDramaHistoryMusicalRomance,Mae West,She Done Him Wrong,Louise Beavers,Lowell Sherman Gilbert Roland ComedyDramaHistoryMusicalRomance Mae West Louise Beavers
4899,Maurizio Benazzo,Jasper Johal,Documentary,The Dalai Lama,Short Cut to Nirvana: Kumbh Mela,Swami Krishnanad,Maurizio Benazzo Jasper Johal Documentary The Dalai Lama Swami Krishnanad
4900,David G. Evans,Chris Thomas,Drama,Michael Joiner,The Grace Card,Michael Higgenbottom,David G. Evans Chris Thomas Drama Michael Joiner Michael Higgenbottom
4901,Ava DuVernay,David Oyelowo,Drama,Omari Hardwick,Middle of Nowhere,Lorraine Toussaint,Ava DuVernay David Oyelowo Drama Omari Hardwick Lorraine Toussaint
